Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude
1350,550.0,70,2,2,1,1,False,False,True,False,Butantã,rent,-23.573115,-46.749772
5000,800.0,60,1,2,1,1,False,True,True,False,Itaim Bibi,rent,-23.5917572,-46.6837781
2600,600.0,33,1,2,1,1,False,True,True,False,Brooklin,rent,-23.6190361,-46.6854279
1000,527.0,60,2,1,0,1,False,False,False,False,Vila Matilde,rent,-23.540358,-46.5167704
2300,450.0,70,2,2,1,1,True,True,True,False,Jabaquara,rent,-23.632138,-46.640499
928000,1100.0,97,3,2,1,1,True,False,False,False,Vila Madalena,sale,-23.545566,-46.693608
425000,400.0,60,3,2,1,1,False,False,True,False,Casa Verde,sale,-23.5054645,-46.6711
500000,540.0,68,3,2,1,2,True,False,True,False,Jaraguá,sale,-23.524721,-46.647464
6000,985.0,105,2,3,2,2,False,False,True,False,Brooklin,rent,-23.6208425,-46.6845247
3000,885.0,128,4,3,2,2,False,False,False,False,Vila Prudente,rent,-23.5837904,-46.5626794
1500,383.0,75,2,2,1,1,True,False,False,False,Bom Retiro,rent,-23.533532,-46.637218
1100000,980.0,133,3,4,1,2,False,False,True,False,Campo Grande,sale,-23.679329,-46.691932
5300,1485.0,119,3,2,1,4,True,True,True,False,Vila Mariana,rent,-23.581824,-46.647415
169900,190.0,31,1,2,1,1,False,False,False,False,Cidade Ademar,sale,-23.6573936,-46.6677377
1600,380.0,56,3,2,1,1,False,False,False,False,São Lucas,rent,-23.58816,-46.543623
3000,909.0,80,2,2,1,1,True,False,False,False,Pinheiros,rent,-23.555683,-46.678292
260000,385.0,54,2,2,1,1,False,False,True,False,Água Rasa,sale,-23.572194,-46.567601
1200000,1190.0,106,3,2,1,1,False,True,False,False,Bela Vista,sale,-23.5550751,-46.660435
1200,500.0,56,2,2,1,1,False,False,False,False,Freguesia do Ó,rent,-23.498256,-46.698115
1257575,945.0,113,2,3,1,2,False,False,False,False,Santo Amaro,sale,-23.631833,-46.694802
65000,110.0,48,2,2,1,1,False,False,False,False,Cidade Tiradentes,sale,-23.590323,-46.399616
1500,623.0,65,2,1,0,1,True,False,True,False,Butantã,rent,-23.5053909,-46.6227832
1400,570.0,60,2,2,1,1,False,False,True,False,Sacomã,rent,-23.6086962,-46.6014063
3700,630.0,50,1,2,1,1,True,True,True,False,Campo Belo,rent,-23.626311,-46.674796
2600,480.0,70,2,2,1,1,True,False,True,False,Lapa,rent,-23.518409,-46.729321
1200,437.0,52,2,2,1,1,True,False,False,False,Vila Matilde,rent,-23.52647,-46.533089
322000,308.0,55,2,2,1,1,True,False,True,False,Brás,sale,-23.535721,-46.595133
250000,100.0,50,2,1,0,1,True,False,False,True,Aricanduva,sale,-23.574112,-46.5104974
170000,150.0,48,2,1,0,1,False,False,False,False,Artur Alvim,sale,-23.545317,-46.483896
3500,1711.0,183,3,2,1,1,False,False,False,False,Jardim Paulista,rent,-23.564231,-46.6577811
410000,460.0,58,2,2,1,1,False,False,True,False,Bom Retiro,sale,-23.5246065,-46.6473265
350000,591.0,60,1,1,0,0,True,False,False,False,Bela Vista,sale,-23.5529814,-46.6406297
4200,900.0,140,3,3,2,2,False,False,True,False,Ipiranga,rent,-23.5777301788,-46.6061439514
1400,330.0,56,2,2,1,1,False,False,True,False,Sapopemba,rent,-23.585748,-46.533696
1000,270.0,48,2,2,1,1,True,False,False,False,São Mateus,rent,-23.5876,-46.488497
1800,550.0,45,1,2,1,1,True,False,True,False,Tatuapé,rent,-23.53968,-46.568409
1650,429.0,55,2,2,1,1,True,False,False,False,Socorro,rent,-23.672428,-46.713773
1100,1018.0,56,1,1,0,1,False,False,False,False,Perdizes,rent,-23.535582,-46.67853185
150000,250.0,48,2,1,0,1,False,False,False,False,Itaim Paulista,sale,-23.5131149,-46.3797109
2100,540.0,65,2,1,0,1,True,False,False,False,Mooca,rent,-23.5606711,-46.5963794
230000,400.0,51,2,2,1,1,False,False,False,False,Cidade Líder,sale,-23.563018,-46.478423
169000,100.0,40,2,1,0,0,True,False,False,True,Ponte Rasa,sale,-23.5196784,-46.4913074
1800,600.0,70,3,2,1,1,False,False,False,False,São Lucas,rent,-23.586471,-46.535933
245000,400.0,52,2,2,1,1,False,False,False,False,Brasilândia,sale,-23.471708,-46.687679
430000,700.0,46,1,1,0,1,True,False,True,False,Consolação,sale,-23.554469,-46.659683
2300,658.0,53,2,2,1,2,True,False,True,False,Cursino,rent,-23.605497,-46.625622
972611,538.0,70,3,2,1,1,False,False,False,False,Cambuci,sale,-23.562359,-46.631035
199900,180.0,40,2,2,1,1,True,False,True,False,Campo Limpo,sale,-23.618993,-46.75912
232000,310.0,48,3,1,0,1,False,True,True,False,Jaçanã,sale,-23.4830921,-46.5657512
670000,790.0,63,2,2,1,2,False,False,True,False,Brooklin,sale,-23.5634559,-46.6408459
15000,2000.0,101,1,2,1,2,True,True,True,False,Itaim Bibi,rent,-23.588294,-46.680764
5800000,1500.0,286,4,6,4,4,True,False,True,False,Alto de Pinheiros,sale,-23.559196,-46.699355
4350,882.0,104,3,2,1,2,False,False,True,False,Morumbi,rent,-23.6238348,-46.7387451
224000,352.0,56,2,1,0,1,False,False,False,False,Ermelino Matarazzo,sale,-23.4944316,-46.500145
1100000,1034.0,115,3,2,1,2,False,False,True,False,Vila Olimpia,sale,-23.597942,-46.680729
190000,495.0,53,2,1,0,1,False,False,False,False,Cidade Líder,sale,-23.6155984,-46.4158008
929500,680.0,92,3,3,1,2,True,False,True,False,Vila Mariana,sale,-23.601582,-46.633121
170000,160.0,42,2,1,0,1,False,False,False,False,Sapopemba,sale,-23.604764,-46.5014313
1300,390.0,50,2,1,0,1,False,False,False,False,Limão,rent,-23.5030629,-46.6836148
1200,330.0,36,1,2,1,1,True,True,False,False,Vila Curuçá,rent,-23.553148,-46.63543
200000,240.0,62,2,2,1,1,False,False,False,False,São Rafael,sale,-23.636535,-46.470477
2500,531.0,40,1,1,0,1,False,False,True,False,Liberdade,rent,-23.56139565,-46.63325965
15000,2569.0,240,4,3,2,3,False,False,True,False,Moema,rent,-23.6046874,-46.6551342
1250700,1800.0,128,3,4,1,2,True,False,True,False,Vila Madalena,sale,-23.545901,-46.707682
155000,95.0,50,2,1,0,1,False,False,False,False,Cidade Ademar,sale,-23.5190315,-46.3886536
1100,200.0,56,2,2,1,1,False,False,False,False,José Bonifácio,rent,-23.550769,-46.442851
300000,360.0,65,3,1,0,1,False,False,True,False,Cidade Líder,sale,-23.562960750000002,-46.4789345
1100,250.0,54,2,2,1,1,False,False,False,False,São Mateus,rent,-23.588645,-46.487367
1400,410.0,65,2,2,1,1,False,False,True,False,Freguesia do Ó,rent,-23.4988253,-46.7052165
2200,1340.0,137,3,4,3,2,True,False,True,False,Tucuruvi,rent,-23.4892453,-46.6215964
175000,180.0,39,2,2,1,1,False,False,False,False,Sé,sale,-23.545936,-46.617923
245000,400.0,48,2,2,1,1,True,True,False,False,Vila Formosa,sale,-23.574984,-46.523402
1430,300.0,52,2,2,1,1,False,False,True,False,Itaquera,rent,-23.545408,-46.449034
1100,400.0,68,3,2,1,1,False,False,False,False,Cidade Líder,rent,-23.562960750000002,-46.4789345
2000,1500.0,38,1,2,1,1,True,True,True,False,Vila Madalena,rent,-23.554108,-46.691946
924000,1600.0,55,2,3,2,1,True,False,True,False,Jardim Paulista,sale,-23.569703,-46.652037
3000,2075.0,196,3,5,3,3,False,False,False,False,Vila Andrade,rent,-23.623707,-46.737871
2700,950.0,95,3,1,0,1,True,False,False,False,Perdizes,rent,-23.5377626,-46.6774987
2000,820.0,40,1,2,1,1,False,False,True,False,Bela Vista,rent,-23.5508637,-46.6426272
3105,466.0,103,2,2,1,1,True,False,False,False,Vila Curuçá,rent,-23.553135,-46.635909
300000,328.0,50,2,2,1,1,False,False,False,False,Capão Redondo,sale,-23.667978,-46.772056
320000,380.0,65,3,2,1,1,True,False,True,False,Cidade Ademar,sale,-23.668748,-46.673438
190000,190.0,56,2,1,0,1,False,False,False,False,Artur Alvim,sale,-23.545317,-46.483896
68000,380.0,90,3,2,1,2,True,False,True,False,Aricanduva,sale,-23.539012,-46.536606
446000,530.0,59,3,2,1,1,False,False,False,False,Belém,sale,-23.544698,-46.6021147
5000,2250.0,187,3,4,3,4,False,False,True,False,Vila Andrade,rent,-23.6283768,-46.738329
1900,800.0,67,3,2,1,1,True,True,False,False,Belém,rent,-23.53838,-46.589441
4000,1500.0,134,3,2,1,2,False,False,False,False,Mooca,rent,-23.575773,-46.590421
180000,150.0,40,2,1,0,0,False,False,False,False,Artur Alvim,sale,-23.545317,-46.483896
230000,380.0,54,2,2,1,1,False,False,False,False,Jardim São Luis,sale,-23.654917,-46.742885
2200,935.0,146,3,2,1,1,False,False,False,False,Belém,rent,-23.5389526,-46.5915324
249900,380.0,56,3,1,0,1,True,False,True,False,Aricanduva,sale,-23.5775059,-46.4920888
199500,260.0,51,2,1,0,1,False,False,False,False,Vila Curuçá,sale,-23.5176403,-46.4289272
2500,850.0,73,2,2,1,1,False,False,True,False,Vila Leopoldina,rent,-23.5314428,-46.7267379
2800,525.0,70,2,2,1,1,False,True,True,False,Vila Leopoldina,rent,-23.5272984,-46.7401426
136600,250.0,98,2,1,0,1,False,False,False,False,Vila Jacuí,sale,-23.5030875,-46.4508595
1500,142.0,63,1,2,1,1,False,False,False,False,Lapa,rent,-23.528334,-46.701799
1500,568.0,65,2,2,1,1,False,False,False,False,Vila Matilde,rent,-23.526681,-46.529475
2700,970.0,42,1,2,1,0,False,False,True,False,Santa Cecília,rent,-23.5416241,-46.6587859
480000,600.0,49,1,2,1,1,True,False,True,False,Bela Vista,sale,-23.552675,-46.639531
7500,1293.0,162,3,4,3,2,False,False,True,False,Campo Belo,rent,-23.6227371,-46.675429
700000,1000.0,103,4,3,1,2,True,False,True,False,Pari,sale,-23.55141,-46.530146
1200,400.0,50,2,2,1,1,False,False,False,False,Cangaíba,rent,-23.505049,-46.527093
190000,280.0,50,2,2,1,1,False,False,False,False,Lajeado,sale,-23.512865,-46.436892
3800,800.0,94,1,1,0,2,False,True,True,False,Lapa,rent,-23.52292655,-46.704552899999996
254500,330.0,47,2,1,0,1,False,False,True,False,Medeiros,sale,-23.4831249,-46.5669292
260000,250.0,54,2,1,0,1,True,False,True,False,Itaim Paulista,sale,-23.5033541,-46.4260698
290000,450.0,52,2,2,1,1,True,False,True,False,Campo Grande,sale,-23.680575,-46.681652
2100,1350.0,90,2,1,0,1,False,False,False,False,Perdizes,rent,-23.5327255,-46.666637
1600000,1650.0,180,4,2,1,2,False,False,False,False,Santa Cecília,sale,-23.5380644,-46.6577914
95000,110.0,47,2,2,1,1,False,False,False,False,Cidade Tiradentes,sale,-23.600123,-46.396429
470000,850.0,65,2,2,1,1,True,False,False,False,Pinheiros,sale,-23.56327,-46.675678
335000,405.0,55,2,2,1,1,False,False,False,False,Cidade Dutra,sale,-23.701798,-46.688606
16000,3161.0,230,3,2,1,2,True,True,False,False,Jardim Paulista,rent,-23.5611782,-46.662377
350000,420.0,65,1,1,0,0,True,False,False,False,Santa Cecília,sale,-23.5351601,-46.6567546
760000,1045.0,62,2,2,1,1,False,False,False,False,Santa Cecília,sale,-23.540633,-46.657663
620000,778.0,52,2,2,1,1,True,False,True,False,Vila Mariana,sale,-23.580277,-46.630137
1360000,800.0,170,3,2,1,2,True,False,False,False,Perdizes,sale,-23.5209598541,-46.6612281799
2900,610.0,60,2,2,1,1,True,True,True,False,Barra Funda,rent,-23.5188515,-46.6553719
2700,1150.0,110,3,2,1,2,True,False,True,False,Vila Guilherme,rent,-23.504248,-46.600997
1200,450.0,47,2,1,0,1,False,False,True,False,Butantã,rent,-23.57625195,-46.74732
